병원명,시술명,샷수,도시,정가,할인가
The Klinique The Mall Ngamwongwan,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,방콕,"฿80,000","฿34,999"
The Klinique Central Festival Chiangmai,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,치앙마이,"฿80,000","฿34,999"
Bellita Clinic,Thermage - Facial Lifting (600 Shots),600,방콕,"฿17,900","฿9,999"
Bellita Clinic,Thermage - Facial Lifting (400 Shots),400,방콕,"฿13,900","฿6,999"
Vdesign Clinic,Thermatight (Mini Thermage) - Facial Lifting (Unlimited Shots) 1 Times,,방콕,"฿25,000","฿5,809"
Aneeds Clinic,Soft Thermage Treatment,,방콕,,
The Aesthetist Clinic,Soft Thermage - Face Lifting (Unlimited Shots) (1 Time),,방콕,"฿5,990","฿3,999"
The Aesthetist Clinic,Buffet Thermage and HIFU - Face Lifting (Unlimited Times within 6 Months),,방콕,"฿35,000","฿25,000"
Miss Skin Clinic,Thermage (450 Shots),450,방콕,"฿33,999","฿32,999"
Miss Skin Clinic,Thermage (900 Shots),900,방콕,"฿61,000","฿45,999"
The Klinique Centralplaza Udonthani,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,기타,"฿80,000","฿34,999"
Holistic Medical Center,"Thermage CPT (1,200 shot) Free !  IV-Drjp super blink 2 times [Flash Sale eVoucher]",200,방콕,"฿120,000","฿65,000"
Holistic Medical Center,"Thermage CPT (1,200 shot)",200,방콕,"฿120,000","฿65,000"
The Image Medical Aesthetic Centre,Thermage (1200 shots),1200,방콕,"฿120,000","฿69,000"
The Image Medical Aesthetic Centre,Thermage (900 shots),900,방콕,"฿90,000","฿59,000"
The Klinique Centralplaza Rama2,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,방콕,"฿80,000","฿34,999"
P Paula Clinic,Thermage(1 session)300 shots per session,300,방콕,"฿15,000","฿12,000"
P Paula Clinic,Thermage(3 session)300 shots per session,300,방콕,"฿35,000","฿31,500"
The Klinique The Mall Nakhon Ratchasima,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,기타,"฿80,000","฿34,999"
Natchanok Clinic,Thermage (1200 Shorts),,방콕,"฿120,000","฿65,000"
Idlife Clinic,Thermage 400 Shots,400,방콕,"฿45,000","฿39,000"
Proderma Aesthetic Clinic,Thermage FLX 900 Shot,900,방콕,"฿85,000","฿70,000"
Eminence Clinic,Thermage FLX - Full Face (900 Shots),900,방콕,"฿90,000","฿72,000"
