병원명,시술명,샷수,도시,정가,할인가
Cher Clinic Big C Rama 2,Ulthera - V Lifting (500 Shots),500,방콕,"฿90,000","฿75,000"
Cher Clinic Big C Rama 2,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Pruksa Clinic Muang Thong Thani Branch,"Ulthera (200 Shots)  *Free LDM Lift Value 8,000 Baht",200,방콕,"฿30,000","฿26,000"
Talisa Clinic Union Mall Branch,Ultherapy Prime (200 Lines) Get Free! Ultraformer lll (200 Shots),200,방콕,"฿27,000","฿26,000"
Talisa Clinic Union Mall Branch,Ultherapy Prime (600 Lines) Get Free! Ultraformer lll (600 Shots),600,방콕,"฿67,000","฿66,000"
Talisa Clinic Union Mall Branch,Ultherapy Prime (400 Lines) Get Free! Ultraformer lll (400 Shots),400,방콕,"฿53,000","฿52,000"
Talisa Clinic Union Mall Branch,Ultherapy Prime (300 Lines) Get Free! Ultraformer lll (300 Shots),300,방콕,"฿40,000","฿39,000"
Talisa Clinic Union Mall Branch,Ultherapy Prime (800 Lines) Get Free! Ultraformer lll (800 Shots),800,방콕,"฿89,000","฿88,000"
Talisa Clinic Seacon Bangkae Branch,Ultherapy Prime (400 Lines) Get Free! Ultraformer lll (400 Shots),400,방콕,"฿53,000","฿52,000"
Talisa Clinic Seacon Bangkae Branch,Ultherapy Prime (600 Lines) Get Free! Ultraformer lll (600 Shots),600,방콕,"฿67,000","฿66,000"
Talisa Clinic Seacon Bangkae Branch,Ultherapy Prime (800 Lines) Get Free! Ultraformer lll (800 Shots),800,방콕,"฿89,000","฿88,000"
Talisa Clinic Seacon Bangkae Branch,Ultherapy Prime (200 Lines) Get Free! Ultraformer lll (200 Shots),200,방콕,"฿27,000","฿26,000"
Talisa Clinic Seacon Bangkae Branch,Ultherapy Prime (300 Lines) Get Free! Ultraformer lll (300 Shots),300,방콕,"฿40,000","฿39,000"
The Klinique The Emporium,Ulthera SPT 200 Lines FREE Pico Laser Bright 1 Time (C0GWB013),200,방콕,"฿48,000","฿24,999"
