병원명,시술명,샷수,도시,정가,할인가
Aiya Clinic,Ultraformer III - Facial (Unlimited Shots) *Procedure by Expert Doctor (*Please Make a Reservation in Advance via LINE),,방콕,"฿59,999","฿9,999"
Self Wellness Clinic,Ultraformer III for Facial Lifting (600 Shots),600,방콕,"฿20,000","฿14,999"
Self Wellness Clinic,Ultraformer III for Facial Lifting (300 Shots),300,방콕,"฿12,990","฿7,900"
Self Wellness Clinic,Ultraformer III for Facial Lifting for 1 Area (100 Shots),1,방콕,"฿4,990","฿2,999"
Behap Wellness Clinic Asoke Branch,HIFU Ultraformer III (800 Shots) (Please make a reservation in advance. Walk-ins are not accepted.),800,방콕,"฿32,990","฿24,990"
Behap Wellness Clinic Asoke Branch,HIFU Ultraformer III (600 Shots) (Please make a reservation in advance. Walk-ins are not accepted.),600,방콕,"฿24,900","฿15,900"
Wellogy Clinic,Ultraformer III 300 Shots (Procedure by Doctor),300,방콕,"฿9,999","฿7,499"
Wellogy Clinic,Ultraformer III 100 shots  (Procedure by Doctor),100,방콕,"฿5,999","฿2,999"
Wellogy Clinic,Ultraformer III 100 shots FREE 100 shots (Procedure by Doctor),100,방콕,"฿7,999","฿5,998"
Wellogy Clinic,Ultraformer III 200 shots FREE 200 shots (Procedure by Doctor),200,방콕,"฿12,999","฿8,999"
Wellogy Clinic,Ultraformer III 300 shots FREE 300 shots (Procedure by Doctor),300,방콕,"฿15,999","฿14,444"
Lbc Clinic Rama 9 Branch,ULTRAFORMER III (2 area 400 shots Free! 50 Shots),2,방콕,"฿20,500","฿16,599"
Lbc Clinic Rama 9 Branch,ULTRAFORMER III (Whole face 600 shots Free! 100 Shots),600,방콕,"฿25,900","฿20,900"
Lbc Clinic Rama 9 Branch,ULTRAFORMER III (1 area 200 shots),1,방콕,"฿15,000","฿9,000"
S48 Clinic Bts Chaeng Watthana 14,Ultraformer III - Facial Lifting (900 Shots),900,방콕,"฿26,900","฿23,310"
S48 Clinic Bts Chaeng Watthana 14,Ultraformer III - Facial Lifting (600 Shots),600,방콕,"฿19,000","฿15,540"
S48 Clinic Bts Chaeng Watthana 14,Ultraformer III - Facial Lifting (400 Shots),400,방콕,"฿15,600","฿10,360"
S48 Clinic Bts Chaeng Watthana 14,Ultraformer III - Facial Lifting (300 Shots),300,방콕,"฿12,000","฿9,900"
S48 Clinic Bts Chaeng Watthana 14,Ultraformer III - Facial Lifting (100 Shots),100,방콕,"฿5,000","฿3,900"
The Prime Clinic Bts Bearing,Ultraformer III 600 lines,600,방콕,"฿20,000","฿15,000"
Lbc Clinic Siam Square Branch,ULTRAFORMER III (Whole Face 600 Shots Free! 100 Shots),600,방콕,"฿25,900","฿20,900"
Lbc Clinic Siam Square Branch,ULTRAFORMER III (1 Area 200 Shots),1,방콕,"฿15,000","฿9,000"
Lbc Clinic Siam Square Branch,ULTRAFORMER III (2 Area 400 Shots Free! 50 Shots),2,방콕,"฿20,500","฿16,599"
Dahlia Clinic Silom Branch,Ultraformer III - 300 Shots,300,방콕,"฿9,900","฿6,900"
Dahlia Clinic Silom Branch,Ultraformer III - 600 shots,600,방콕,"฿19,900","฿12,750"
Dahlia Clinic Silom Branch,Ultraformer III - 450 shots,450,방콕,"฿15,990","฿10,110"
At Ease Clinic Mrt Huai Kwang,Ultraformer III 400 shots with special Cherry Pink cartridge,400,방콕,"฿25,900","฿14,900"
At Ease Clinic Mrt Huai Kwang,Ultraformer III 800 shots (performed by a doctor),800,방콕,"฿23,990","฿21,990"
At Ease Clinic Mrt Huai Kwang,Ultraformer III 200 shots (performed by a doctor),200,방콕,"฿9,990","฿7,990"
At Ease Clinic Mrt Huai Kwang,Ultraformer III 400 shots (performed by a doctor),400,방콕,"฿13,990","฿11,990"
At Ease Clinic Mrt Huai Kwang,Ultraformer III 600 shot,600,방콕,"฿18,990","฿16,990"
L A B X Central Plaza Pinklao Lab X,Ultraformer III - Facial (150 Shots),150,방콕,"฿7,980","฿3,990"
Shayne Co Clinic Phloen Chit Branch,Ultraformer III (600 Lines) (1 Time),600,방콕,"฿19,990","฿14,549"
Shayne Co Clinic Phloen Chit Branch,Ultraformer III (300 Lines) (1 Time),300,방콕,"฿9,990","฿7,759"
Zerene Clinic,Ultraformer III - Facial Lifting (300 Shots) (Free Meso Fat Premium Bromi 20 cc.) (*Procedure by Doctor) (*Please Make a Reservation in Advance via LINE),300,방콕,"฿12,999","฿8,999"
Zerene Clinic,Ultraformer III (600 Shots) (Choose 1 Free Item),600,방콕,"฿21,999","฿17,999"
Zerene Clinic,Ultraformer III - Facial Lifting (400 Shots) (Free Meso Fat Premium Bromi 20 cc.) (*Procedure by Doctor) (*Please Make a Reservation in Advance via LINE),400,방콕,"฿13,999","฿12,999"
Zerene Clinic,Ultraformer III (500 Shots) (Choose 1 Free Item),500,방콕,"฿19,999","฿14,999"
Zerene Clinic,Ultraformer III - Facial Lifting (400 Shots) (Free Botox Neuronox25unit (Korea) -,400,방콕,"฿13,999","฿12,999"
Zerene Clinic,Ultraformer III (100 Shots) - Crown's Feet/Cheek/Double Chin *Choose 1 Area* (Procedure by ) (Exclusive only GOWABI),100,방콕,"฿8,900","฿3,999"
Dahlia Clinic Asoke Branch,Ultraformer III - 300 Shots,300,방콕,"฿9,900","฿6,900"
Dahlia Clinic Asoke Branch,Ultraformer III - 600 shots,600,방콕,"฿19,900","฿12,750"
Dahlia Clinic Asoke Branch,Ultraformer III - 450 shots,450,방콕,"฿15,990","฿10,110"
Surkin Clinic Seacon Square Srinakarin,Ultraformer III - Facial Lifting (1000 Shots) (Free Meso Rejuran 2 cc.) (*Authentic Machine can be Verify),1000,방콕,"฿75,000","฿25,000"
Eleva Clinic,Ultraformer III - Facial (200 Shots) *Authentic Machine,200,방콕,"฿10,000","฿4,900"
Aura K Medical Clinic,Ultraformer III - Facial Lifting (500 Shots),500,방콕,"฿15,000","฿5,990"
Aura K Medical Clinic,Ultraformer III - Facial Lifting (300 Shots),300,방콕,"฿7,990","฿4,790"
Aura K Medical Clinic,Ultraformer III - Facial Lifting (100 Shots),100,방콕,"฿5,990","฿2,390"
Nova Medical Clinic,Ultraformer III - Facial (300 Shots),300,방콕,"฿12,900","฿8,623"
Nova Medical Clinic,"Ultraformer III - Jaw Line, Double Chin (100 Shots)",100,방콕,"฿4,999","฿3,199"
Nova Medical Clinic,"Ultraformer III - Jawlines, Double chin (140 Shots)",140,방콕,"฿5,000","฿3,999"
Meya Clinic Lat Pharo Branch,Ultraformer III - Under Eyes / Upper Cheeks / Jaw Lines / Double Chins (Choose one area),,방콕,"฿3,999","฿1,999"
Meya Clinic Lat Pharo Branch,Ultraformer III - Under Eyes / Upper Cheeks / Jaw Lines / Double Chins (Choose 2 area),2,방콕,"฿7,990","฿3,599"
Vera Clinic Chiang Mai,Ultraformer III Face Lifting (200 Shots),200,치앙마이,"฿5,000","฿2,999"
Dr May Clinic,Ultraformer III 300 shots,300,방콕,"฿12,900","฿7,990"
The Line K Beauty Anti Aging,Ultraformer III - Facial Lifting (500 Shots) Free ผลักวิตามิน Cold Cryotherapy,500,방콕,"฿15,900","฿6,900"
Bemine Clinic,"Ultraformer III 200 Shots, free fat Babi 10 cc. *Please make a reservation in advance before receiving the service*",200,방콕,"฿25,999","฿9,999"
Isaya Clinic,โปรแกรม Ultraformer III – Face Lifting (100 Shots),100,방콕,"฿6,999","฿4,999"
